id,nombre,apellido,email,sexo,dimensions,requirements,latitude,longitude
13,Francois,Cardwell,fcardwellc@unesco.org,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":5}]",35.121884,119.318928
14,Elnore,Garrud,egarrudd@cbslocal.com,Female,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":2},{""name"":""guantes"",""score"":3},{""name"":""primeros auxilios"",""score"":3}]",51.5615169,21.6199869
15,Chrissy,Proudlove,cproudlovee@dailymail.co.uk,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":5},{""name"":""condicion fisica"",""score"":3},{""name"":""casco"",""score"":8}]",68.7986342,16.5414503
16,Caro,Fattorini,cfattorinif@nifty.com,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":5}]",30.75782,30.69768
17,Caz,Boyson,cboysong@exblog.jp,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":6},{""name"":""casco"",""score"":3}]",-9.5128,120.1979
18,Laurens,Marikhin,lmarikhinh@studiopress.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":6}]",55.430827,37.542155
19,Merell,Loxdale,mloxdalei@dell.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":2}]",9.2610914,0.7770529
20,Cristobal,Fritchley,cfritchleyj@adobe.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":5}]",9.7817,124.4693
21,Donna,Hercock,dhercockk@privacy.gov.au,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1}]",7.7102381,3.9190062
22,Patrizius,Rosbottom,prosbottoml@hc360.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":7},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":2}]",24.560159,120.8214265
23,Desiree,Breslin,dbreslinm@php.net,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":9},{""name"":""primeros auxilios"",""score"":4}]",-20.4709005,57.584421
24,Web,Blare,wblaren@tumblr.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":10}]",-7.6411786,112.6377432
25,Bernard,Thundercliffe,bthundercliffeo@altervista.org,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":8}]",-6.201062,106.5746124
26,Jannel,Gregore,jgregorep@opensource.org,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":5},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":9}]",-8.4044008,116.5491893
27,Anett,Pasque,apasqueq@parallels.com,Female,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":8}]",-19.2234241,-40.8538285
28,Sancho,Miskelly,smiskellyr@springer.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":2}]",1.4888401,103.7839552
29,Che,Harriot,charriots@ning.com,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":3}]",8.1601168,-71.1448516
30,Matthieu,Hyatt,mhyattt@springer.com,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":8}]",33.770447,117.624455
31,Pascale,Honsch,phonschu@trellian.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":4}]",35.7390788,140.3438019
32,Gian,Dancey,gdanceyv@g.co,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":1}]",40.7559095,-0.3371889
33,Mathilda,Keir,mkeirw@fda.gov,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":1},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":6}]",41.7856914,20.9077452
34,Tadeo,Rickeard,trickeardx@1688.com,Male,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":6}]",32.904916,104.466646
35,Emmie,Guion,eguiony@oakley.com,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":8}]",55.7675702,48.4902341
36,Andrus,Toffano,atoffanoz@prnewswire.com,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":4}]",8.4584521,125.0679195
37,Woodrow,Helder,whelder10@tumblr.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":6}]",43.0369422,19.7561911
38,Isahella,Spyer,ispyer11@odnoklassniki.ru,Female,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":5},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":8},{""name"":""casco"",""score"":9}]",13.9317086,99.7846002
39,Mercedes,Garraway,mgarraway12@slideshare.net,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":2},{""name"":""guantes"",""score"":8},{""name"":""primeros auxilios"",""score"":5}]",22.239478,111.549105
40,Julissa,Zum Felde,jzumfelde13@usnews.com,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":5}]",-7.2752365,106.9860384
41,Kip,Sanbrook,ksanbrook14@blogger.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":8}]",47.4778423,16.1089064
42,Con,Pyne,cpyne15@ebay.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":1}]",32.862316,35.365253
43,Donica,Hullah,dhullah16@tiny.cc,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":5},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":2},{""name"":""casco"",""score"":1}]",28.4233602,30.734995
44,Jeane,Thurlbeck,jthurlbeck17@washington.edu,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":9}]",-20.4059505,57.7034222
45,Elmo,Wilcocke,ewilcocke18@g.co,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":2},{""name"":""condicion fisica"",""score"":4}]",45.3652354,14.3926584
46,Haily,Meenan,hmeenan19@ft.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":1}]",-23.2251621,-45.8861749
47,Carilyn,McRill,cmcrill1a@ucoz.com,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":2}]",40.3698651,48.1644626
48,Marena,Kynman,mkynman1b@senate.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":5}]",27.6376503,30.8510692
49,Maxie,Sigward,msigward1c@slashdot.org,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":7}]",46.2394709,15.2867417
50,Esther,Penhaligon,epenhaligon1d@addtoany.com,Female,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":4}]",40.4824514,49.946315
51,Cord,Hirtz,chirtz1e@homestead.com,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":2},{""name"":""alta estatura"",""score"":9},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":8},{""name"":""condicion fisica"",""score"":2},{""name"":""casco"",""score"":2}]",48.6379813,2.4259452
52,Clive,Dawe,cdawe1f@odnoklassniki.ru,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":4}]",-23.5307464,-46.8991995
53,Bordy,Lintott,blintott1g@google.es,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":7},{""name"":""condicion fisica"",""score"":10},{""name"":""casco"",""score"":6}]",28.262375,109.698015
54,Marlene,Habbijam,mhabbijam1h@furl.net,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":5}]",46.9554271,79.6785264
55,Freida,Outhwaite,fouthwaite1i@fema.gov,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":3}]",10.9856014,124.5316391
56,Rosamund,Outright,routright1j@cocolog-nifty.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":6},{""name"":""condicion fisica"",""score"":10},{""name"":""casco"",""score"":8}]",54.9082369,23.879755
57,Annalise,Prantl,aprantl1k@google.com.au,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":5},{""name"":""condicion fisica"",""score"":2}]",38.0426062,23.7536323
58,Natalya,Dodswell,ndodswell1l@naver.com,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4}]",21.912701,111.902604
59,Hyacintha,Lakenden,hlakenden1m@usa.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":5},{""name"":""primeros auxilios"",""score"":7}]",8.7550575,-11.044307
60,Maurene,Gellert,mgellert1n@cnbc.com,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":7},{""name"":""condicion fisica"",""score"":8}]",35.6574826,50.9762063
